X,Y,Coastal,Blue,Green,Red,NIR,SWIR1,SWIR2,NDVI,IPVI,GRVI,poroda_short
362805,5670855,27,22,18,50,27,195,14,0.35065,-0.2987,-0.47059,PISY
362745,5670885,26,22,18,50,30,196,15,0.375,-0.25,-0.47059,PISY
362745,5670435,30,25,20,52,28,192,15,0.35,-0.3,-0.44444,PISY
362805,5670675,24,18,14,47,27,193,12,0.36486,-0.27027,-0.54098,PISY
362775,5670555,30,25,20,50,28,192,16,0.35897,-0.28205,-0.42857,PISY
362535,5670555,24,18,15,45,29,196,14,0.39189,-0.21622,-0.5,PISY
362745,5670765,25,18,15,46,27,195,12,0.36986,-0.26027,-0.5082,PISY
363045,5671155,25,19,15,51,33,194,16,0.39286,-0.21429,-0.54545,BEPE
362715,5671395,24,21,14,78,35,194,14,0.30973,-0.38053,-0.69565,ALGL
364065,5671515,24,19,13,60,30,196,13,0.33333,-0.33333,-0.64384,PISY
363585,5671635,24,18,15,45,29,193,15,0.39189,-0.21622,-0.5,PISY
361215,5669655,29,25,20,46,35,198,22,0.4321,-0.1358,-0.39394,PISY
361305,5669895,27,22,17,45,32,196,14,0.41558,-0.16883,-0.45161,PISY
360615,5670135,25,21,14,77,35,196,13,0.3125,-0.375,-0.69231,PISY
360345,5670465,25,21,17,50,29,198,15,0.36709,-0.26582,-0.49254,PISY
360405,5670525,25,20,16,47,29,199,15,0.38158,-0.23684,-0.49206,PISY
360345,5670555,32,26,21,49,34,199,16,0.40964,-0.18072,-0.4,PISY
360645,5670945,25,22,17,47,31,199,16,0.39744,-0.20513,-0.46875,PISY
360345,5670975,26,22,16,47,27,197,12,0.36486,-0.27027,-0.49206,PISY
360615,5670795,26,22,18,48,37,202,20,0.43529,-0.12941,-0.45455,PISY
361035,5670435,25,21,16,47,31,199,17,0.39744,-0.20513,-0.49206,PISY
360945,5670795,26,21,17,45,33,200,18,0.42308,-0.15385,-0.45161,PISY
361575,5670045,27,23,18,48,26,194,13,0.35135,-0.2973,-0.45455,PISY
361245,5670225,25,21,17,44,27,198,13,0.38028,-0.23944,-0.44262,PISY
361395,5670375,25,21,16,43,29,199,16,0.40278,-0.19444,-0.45763,PISY
361485,5670405,31,26,22,44,33,199,21,0.42857,-0.14286,-0.33333,PISY
361995,5670195,28,24,20,55,35,196,17,0.38889,-0.22222,-0.46667,PISY
362145,5670045,29,23,19,49,28,193,15,0.36364,-0.27273,-0.44118,PISY
361965,5669985,24,19,14,52,25,194,12,0.32468,-0.35065,-0.57576,PISY
361875,5669895,24,18,13,53,26,193,11,0.32911,-0.34177,-0.60606,PISY
362145,5669805,24,19,14,50,28,193,15,0.35897,-0.28205,-0.5625,PISY
360975,5671095,30,24,20,45,27,197,17,0.375,-0.25,-0.38462,PISY
358125,5665425,35,29,24,71,37,195,19,0.34259,-0.31481,-0.49474,OTHERS
358935,5665755,30,26,18,84,39,196,17,0.31707,-0.36585,-0.64706,ALGL
358965,5666145,31,27,20,80,40,196,18,0.33333,-0.33333,-0.6,OTHERS
359025,5666145,29,22,17,80,39,196,15,0.32773,-0.34454,-0.64948,ALGL
358995,5666355,29,22,17,84,35,196,13,0.29412,-0.41176,-0.66337,OTHERS
359025,5666385,30,23,17,84,36,196,14,0.3,-0.4,-0.66337,ALGL
358935,5666475,31,26,20,78,39,196,18,0.33333,-0.33333,-0.59184,OTHERS
358995,5666595,30,23,17,77,39,197,17,0.33621,-0.32759,-0.6383,ALGL
359595,5666445,29,24,17,84,34,196,12,0.28814,-0.42373,-0.66337,POTR
359085,5665515,29,22,16,85,39,196,15,0.31452,-0.37097,-0.68317,OTHERS
358185,5665365,29,24,17,75,39,195,15,0.34211,-0.31579,-0.63043,ALGL
358365,5664345,27,22,17,90,42,196,16,0.31818,-0.36364,-0.68224,ALGL
356715,5664525,28,24,16,90,38,195,15,0.29688,-0.40625,-0.69811,ALGL
358635,5665605,28,22,17,83,38,194,16,0.31405,-0.3719,-0.66,OTHERS
358215,5665635,32,28,22,85,39,194,16,0.31452,-0.37097,-0.58879,ALGL
358335,5665695,29,25,18,80,36,196,15,0.31034,-0.37931,-0.63265,ALGL
358095,5665545,29,23,18,70,35,198,19,0.33333,-0.33333,-0.59091,OTHERS
359805,5669085,32,26,22,49,28,198,15,0.36364,-0.27273,-0.38028,PISY
359865,5668515,28,23,18,47,28,196,15,0.37333,-0.25333,-0.44615,PISY
359895,5668425,29,21,18,55,32,198,18,0.36782,-0.26437,-0.50685,PISY
359775,5668185,30,26,20,56,32,197,16,0.36364,-0.27273,-0.47368,PISY
359925,5668245,30,25,21,46,30,195,14,0.39474,-0.21053,-0.37313,PISY
359655,5667945,30,21,16,52,28,197,14,0.35,-0.3,-0.52941,PISY
359685,5667765,30,23,17,59,29,196,12,0.32955,-0.34091,-0.55263,PISY
358605,5666835,33,27,21,79,39,196,21,0.33051,-0.33898,-0.58,OTHERS
359325,5667525,29,23,18,72,35,196,15,0.3271,-0.34579,-0.6,ALGL
358995,5667075,29,23,17,85,40,198,17,0.32,-0.36,-0.66667,ALGL
358335,5664735,29,24,17,87,42,196,16,0.32558,-0.34884,-0.67308,OTHERS
358335,5664435,28,22,17,90,39,196,15,0.30233,-0.39535,-0.68224,ALGL
358305,5664345,28,21,16,91,39,196,15,0.3,-0.4,-0.70093,ALGL
356925,5664765,26,21,15,76,35,196,14,0.31532,-0.36937,-0.67033,ALGL
356955,5664645,25,21,13,83,35,196,13,0.29661,-0.40678,-0.72917,OTHERS
357195,5664675,25,20,14,72,36,196,14,0.33333,-0.33333,-0.67442,OTHERS
357345,5664585,28,22,16,75,35,196,14,0.31818,-0.36364,-0.64835,OTHERS
357435,5664885,26,21,14,74,38,198,15,0.33929,-0.32143,-0.68182,OTHERS
365085,5673765,24,17,13,80,35,196,13,0.30435,-0.3913,-0.72043,BEPE
365655,5673465,24,19,13,74,33,198,14,0.30841,-0.38318,-0.70115,PISY
365445,5673765,24,18,13,57,26,196,11,0.31325,-0.37349,-0.62857,PISY
365295,5673735,24,18,13,56,26,196,13,0.31707,-0.36585,-0.62319,PISY
365175,5673795,23,18,13,66,30,196,12,0.3125,-0.375,-0.67089,BEPE
365985,5673855,23,19,13,56,24,196,11,0.3,-0.4,-0.62319,PISY
366165,5673915,39,33,29,61,35,196,21,0.36458,-0.27083,-0.35556,BEPE
366225,5674005,34,29,25,59,27,196,18,0.31395,-0.37209,-0.40476,PISY
366105,5664435,26,20,14,53,27,196,12,0.3375,-0.325,-0.58209,PISY
366345,5664465,24,20,14,58,26,196,12,0.30952,-0.38095,-0.61111,BEPE
366435,5664255,24,20,16,60,28,197,12,0.31818,-0.36364,-0.57895,PISY
367395,5664495,25,21,15,64,30,196,13,0.31915,-0.3617,-0.62025,PISY
367425,5664135,24,20,14,65,29,196,12,0.30851,-0.38298,-0.64557,BEPE
366915,5664555,24,20,14,68,31,196,13,0.31313,-0.37374,-0.65854,PISY
360585,5667675,24,19,15,47,30,193,15,0.38961,-0.22078,-0.51613,PISY
362205,5670465,26,21,16,56,29,195,15,0.34118,-0.31765,-0.55556,PISY
362235,5670135,27,22,18,46,29,195,16,0.38667,-0.22667,-0.4375,PISY
362325,5670165,27,21,17,48,28,196,15,0.36842,-0.26316,-0.47692,PISY
362775,5670285,24,20,14,60,34,194,15,0.3617,-0.2766,-0.62162,PISY
361995,5670615,25,19,16,45,27,196,14,0.375,-0.25,-0.47541,PISY
361905,5670795,26,21,17,46,28,198,15,0.37838,-0.24324,-0.46032,PISY
361005,5670855,25,21,16,45,31,199,16,0.40789,-0.18421,-0.47541,PISY
361485,5671065,28,22,17,55,27,199,14,0.32927,-0.34146,-0.52778,PISY
360795,5670885,25,20,16,44,27,199,13,0.38028,-0.23944,-0.46667,PISY
362055,5671305,23,17,12,50,26,196,11,0.34211,-0.31579,-0.6129,PISY
361905,5671395,24,19,12,61,33,197,15,0.35106,-0.29787,-0.67123,ALGL
362835,5670555,24,20,15,46,29,192,15,0.38667,-0.22667,-0.5082,PISY
363555,5670915,24,18,13,53,23,192,12,0.30263,-0.39474,-0.60606,PISY
363315,5670975,24,19,14,50,24,193,12,0.32432,-0.35135,-0.5625,PISY
363285,5670885,24,18,16,48,31,192,16,0.39241,-0.21519,-0.5,PISY
363135,5670945,24,20,16,45,34,193,19,0.43038,-0.13924,-0.47541,PISY
363015,5670855,25,20,15,46,29,193,15,0.38667,-0.22667,-0.5082,PISY
362385,5671635,25,21,15,90,42,196,17,0.31818,-0.36364,-0.71429,ALGL
363945,5671605,24,19,15,52,29,196,15,0.35802,-0.28395,-0.55224,PISY
363375,5671725,24,21,12,81,37,192,14,0.31356,-0.37288,-0.74194,ALGL
363645,5671665,24,20,16,46,29,194,15,0.38667,-0.22667,-0.48387,PISY
363795,5671665,24,18,15,45,27,196,15,0.375,-0.25,-0.5,PISY
363645,5673825,24,20,15,47,30,196,14,0.38961,-0.22078,-0.51613,ALGL
363765,5673585,24,19,14,52,27,197,13,0.34177,-0.31646,-0.57576,PISY
363345,5673195,27,25,17,93,43,194,17,0.31618,-0.36765,-0.69091,ALGL
363615,5671815,23,18,13,52,24,193,10,0.31579,-0.36842,-0.6,PISY
363645,5671815,24,18,14,48,27,193,12,0.36,-0.28,-0.54839,PISY
363405,5672685,26,19,15,50,24,196,11,0.32432,-0.35135,-0.53846,PISY
360435,5666625,32,27,22,52,27,194,13,0.34177,-0.31646,-0.40541,PISY
360135,5667255,30,26,20,54,29,195,15,0.3494,-0.3012,-0.45946,PISY
367035,5665545,27,21,15,60,29,195,12,0.32584,-0.34831,-0.6,PISY
366975,5665725,26,21,15,61,31,195,15,0.33696,-0.32609,-0.60526,PISY
366675,5665365,27,21,15,58,31,195,14,0.34831,-0.30337,-0.58904,PISY
367035,5665125,25,20,15,66,30,196,13,0.3125,-0.375,-0.62963,PISY
367035,5664885,25,20,14,54,26,196,10,0.325,-0.35,-0.58824,PISY
367095,5664675,25,20,14,62,28,196,11,0.31111,-0.37778,-0.63158,PISY
367005,5664555,25,20,14,70,32,196,13,0.31373,-0.37255,-0.66667,BEPE
367215,5664525,25,19,14,57,27,196,12,0.32143,-0.35714,-0.60563,PISY
367095,5664615,25,20,14,63,29,196,12,0.31522,-0.36957,-0.63636,PISY
367275,5664615,25,20,14,58,27,196,12,0.31765,-0.36471,-0.61111,PISY
367395,5664225,25,20,14,58,26,196,12,0.30952,-0.38095,-0.61111,PISY
364455,5672775,24,20,14,51,29,199,14,0.3625,-0.275,-0.56923,PISY
364155,5672205,27,22,17,47,27,196,14,0.36486,-0.27027,-0.46875,PISY
361545,5669805,26,22,17,48,25,194,12,0.34247,-0.31507,-0.47692,PISY
361815,5669475,30,26,21,53,28,192,13,0.34568,-0.30864,-0.43243,PISY
360345,5669505,28,23,19,48,30,198,15,0.38462,-0.23077,-0.43284,PISY
360885,5669685,27,22,18,47,28,198,14,0.37333,-0.25333,-0.44615,PISY
360915,5669625,27,22,17,50,23,198,10,0.31507,-0.36986,-0.49254,PISY
361335,5669415,28,23,18,49,28,198,14,0.36364,-0.27273,-0.46269,PISY
361785,5669145,31,26,22,53,28,193,15,0.34568,-0.30864,-0.41333,PISY
360135,5669445,26,22,19,53,29,197,13,0.35366,-0.29268,-0.47222,PISY
360165,5669355,27,22,17,48,27,198,14,0.36,-0.28,-0.47692,PISY
360495,5669115,31,25,20,47,27,197,14,0.36486,-0.27027,-0.40299,PISY
360405,5669115,30,23,20,52,27,198,15,0.34177,-0.31646,-0.44444,PISY
360255,5669205,29,23,18,50,28,198,15,0.35897,-0.28205,-0.47059,PISY
360675,5668935,31,26,20,54,31,196,14,0.36471,-0.27059,-0.45946,PISY
360915,5668725,24,19,16,50,28,192,14,0.35897,-0.28205,-0.51515,PISY
360975,5668815,25,20,16,47,24,192,13,0.33803,-0.32394,-0.49206,PISY
361605,5668695,31,26,21,66,33,194,18,0.33333,-0.33333,-0.51724,PISY
360795,5668575,26,22,17,48,34,193,19,0.41463,-0.17073,-0.47692,PISY
360825,5668515,26,20,17,53,36,193,21,0.40449,-0.19101,-0.51429,BEPE
360645,5668005,24,18,16,45,29,193,15,0.39189,-0.21622,-0.47541,PISY
360585,5668035,25,20,18,51,29,193,14,0.3625,-0.275,-0.47826,PISY
360345,5668185,31,27,22,54,37,192,20,0.40659,-0.18681,-0.42105,BEPE
360165,5668545,30,26,21,51,28,194,16,0.35443,-0.29114,-0.41667,PISY
360075,5668545,29,24,20,46,28,194,14,0.37838,-0.24324,-0.39394,PISY
360105,5668755,31,22,18,50,27,197,15,0.35065,-0.2987,-0.47059,PISY
360075,5668785,28,23,18,51,25,197,12,0.32895,-0.34211,-0.47826,PISY
360465,5668575,31,26,21,41,29,197,15,0.41429,-0.17143,-0.32258,PISY
360795,5668665,24,19,16,42,28,193,18,0.4,-0.2,-0.44828,PISY
360825,5668275,26,21,16,50,31,193,15,0.38272,-0.23457,-0.51515,PISY
360915,5668305,24,20,16,47,27,194,13,0.36486,-0.27027,-0.49206,PISY
359025,5666265,30,21,17,84,35,196,13,0.29412,-0.41176,-0.66337,PISY
366645,5664675,25,21,15,53,33,197,17,0.38372,-0.23256,-0.55882,PISY
367485,5664045,24,21,14,89,39,196,16,0.30469,-0.39063,-0.72816,BEPE
349035,5645805,26,21,16,80,31,196,13,0.27928,-0.44144,-0.66667,POTR
352935,5648565,28,22,17,54,26,198,13,0.325,-0.35,-0.52113,PISY
352875,5648475,25,20,15,65,33,199,15,0.33673,-0.32653,-0.625,OTHERS
353775,5649915,27,21,16,49,28,198,14,0.36364,-0.27273,-0.50769,PISY
354225,5649315,27,21,17,47,27,199,14,0.36486,-0.27027,-0.46875,PISY
352845,5650035,25,20,15,50,25,198,12,0.33333,-0.33333,-0.53846,PISY
352455,5649765,27,21,16,51,24,196,11,0.32,-0.36,-0.52239,PISY
358365,5650395,26,20,15,47,22,198,10,0.31884,-0.36232,-0.51613,PISY
357495,5650395,26,21,15,52,28,199,14,0.35,-0.3,-0.55224,PISY
357495,5650575,25,20,16,48,30,199,16,0.38462,-0.23077,-0.5,PISY
356685,5649315,25,21,14,50,25,198,11,0.33333,-0.33333,-0.5625,PISY
356565,5650215,26,21,16,59,35,200,16,0.37234,-0.25532,-0.57333,BEPE
357045,5651055,26,20,13,55,26,197,12,0.32099,-0.35802,-0.61765,PISY
355275,5649825,29,22,16,59,26,198,12,0.30588,-0.38824,-0.57333,PISY
356445,5650515,26,21,16,47,26,199,13,0.35616,-0.28767,-0.49206,PISY
355815,5651025,29,22,18,57,32,198,14,0.35955,-0.2809,-0.52,BEPE
355755,5651355,26,20,15,57,28,197,14,0.32941,-0.34118,-0.58333,BEPE
355005,5649855,28,22,16,54,27,199,13,0.33333,-0.33333,-0.54286,PISY
354225,5651685,25,19,14,50,25,197,11,0.33333,-0.33333,-0.5625,PISY
354495,5651145,27,21,16,49,27,201,13,0.35526,-0.28947,-0.50769,PISY
353985,5650995,27,21,16,47,26,199,13,0.35616,-0.28767,-0.49206,PISY
353895,5650995,27,20,15,47,27,199,15,0.36486,-0.27027,-0.51613,PISY
354195,5651265,27,21,16,47,27,198,14,0.36486,-0.27027,-0.49206,PISY
354375,5651655,25,20,15,52,29,197,16,0.35802,-0.28395,-0.55224,PISY
354615,5651985,24,20,14,51,24,198,11,0.32,-0.36,-0.56923,PISY
354945,5652225,27,20,14,55,25,198,11,0.3125,-0.375,-0.5942,PISY
354675,5652525,24,19,15,48,26,198,13,0.35135,-0.2973,-0.52381,PISY
356085,5653305,26,20,14,89,39,196,14,0.30469,-0.39063,-0.72816,ALGL
355935,5653335,24,20,13,86,36,195,13,0.29508,-0.40984,-0.73737,ALGL
356055,5653935,26,21,14,58,27,196,12,0.31765,-0.36471,-0.61111,PISY
355875,5653965,26,21,15,86,34,197,12,0.28333,-0.43333,-0.70297,OTHERS
356595,5654415,25,20,14,66,37,199,15,0.35922,-0.28155,-0.65,PISY
356655,5655045,25,19,14,57,30,200,13,0.34483,-0.31034,-0.60563,PISY
354825,5655045,27,21,16,54,29,199,13,0.3494,-0.3012,-0.54286,PISY
357795,5656965,25,20,14,67,32,195,13,0.32323,-0.35354,-0.65432,ALGL
357015,5656875,26,21,14,88,36,196,13,0.29032,-0.41935,-0.72549,POTR
357315,5657175,27,21,14,93,38,195,14,0.29008,-0.41985,-0.73832,ALGL
355245,5650305,25,20,16,49,25,198,12,0.33784,-0.32432,-0.50769,PISY
357495,5649045,26,20,15,53,29,201,14,0.35366,-0.29268,-0.55882,PISY
357165,5654685,25,20,14,73,32,199,13,0.30476,-0.39048,-0.67816,BEPE
357675,5654265,30,24,19,53,32,199,15,0.37647,-0.24706,-0.47222,BEPE
355965,5653785,25,20,14,82,37,196,14,0.31092,-0.37815,-0.70833,OTHERS
357885,5656725,24,20,13,88,39,195,15,0.30709,-0.38583,-0.74257,ALGL
357435,5656875,27,20,14,77,36,195,14,0.31858,-0.36283,-0.69231,POTR
356925,5656995,26,20,14,77,35,196,14,0.3125,-0.375,-0.69231,OTHERS
354165,5651535,25,19,14,55,28,198,13,0.33735,-0.3253,-0.5942,PISY
354225,5651385,27,21,16,48,26,198,12,0.35135,-0.2973,-0.5,PISY
357615,5656995,26,21,14,94,41,196,17,0.3037,-0.39259,-0.74074,ALGL
356355,5650335,26,21,16,46,26,199,13,0.36111,-0.27778,-0.48387,PISY
355995,5649285,26,20,16,64,29,197,14,0.31183,-0.37634,-0.6,BEPE
360795,5650035,28,24,18,48,28,199,13,0.36842,-0.26316,-0.45455,PISY
359835,5649045,24,19,14,53,28,199,13,0.34568,-0.30864,-0.58209,PISY
349185,5646045,25,21,15,76,34,199,15,0.30909,-0.38182,-0.67033,POTR
349725,5649555,25,23,16,54,25,196,14,0.31646,-0.36709,-0.54286,POTR
353235,5648775,28,23,18,57,34,200,18,0.37363,-0.25275,-0.52,PISY
357675,5649765,25,19,14,55,28,197,12,0.33735,-0.3253,-0.5942,BEPE
356895,5649615,30,24,19,51,36,199,19,0.41379,-0.17241,-0.45714,PISY
356775,5649225,25,20,14,52,26,200,12,0.33333,-0.33333,-0.57576,PISY
356415,5650275,25,20,14,62,30,199,14,0.32609,-0.34783,-0.63158,BEPE
355035,5650455,25,21,14,66,34,197,14,0.34,-0.32,-0.65,BEPE
356085,5652645,24,20,14,79,37,198,15,0.31897,-0.36207,-0.69892,PISY
356205,5653185,25,20,14,84,36,197,14,0.3,-0.4,-0.71429,ALGL
355965,5654265,24,20,13,93,40,197,15,0.30075,-0.3985,-0.75472,PISY
356145,5654475,26,21,14,114,45,196,17,0.28302,-0.43396,-0.78125,ALGL
354795,5655135,27,22,17,52,33,198,15,0.38824,-0.22353,-0.50725,PISY
358485,5656905,25,20,14,78,37,198,15,0.32174,-0.35652,-0.69565,ALGL
357945,5656875,26,20,15,85,35,195,13,0.29167,-0.41667,-0.7,ALGL
357255,5656815,26,20,14,84,34,196,13,0.28814,-0.42373,-0.71429,ALGL
355635,5651355,26,21,14,84,42,198,18,0.33333,-0.33333,-0.71429,ALGL
357975,5650185,27,21,14,52,25,197,12,0.32468,-0.35065,-0.57576,PISY
356355,5649495,26,21,15,48,30,199,15,0.38462,-0.23077,-0.52381,PISY
356325,5654085,25,20,15,77,41,197,17,0.34746,-0.30508,-0.67391,PISY
357165,5656965,27,21,14,92,39,195,15,0.29771,-0.40458,-0.73585,ALGL
357405,5656995,26,21,14,85,41,196,16,0.3254,-0.34921,-0.71717,POTR
360585,5652735,27,21,16,46,28,199,13,0.37838,-0.24324,-0.48387,PISY
359535,5649825,29,22,17,47,26,200,13,0.35616,-0.28767,-0.46875,PISY
359565,5649495,27,22,18,54,29,198,15,0.3494,-0.3012,-0.5,PISY
373035,5646405,26,21,15,89,35,198,14,0.28226,-0.43548,-0.71154,OTHERS
373545,5646285,26,22,15,91,36,195,12,0.28346,-0.43307,-0.71698,OTHERS
373875,5646615,27,21,15,91,38,195,14,0.29457,-0.41085,-0.71698,OTHERS
373935,5647785,27,21,15,90,40,196,16,0.30769,-0.38462,-0.71429,OTHERS
374475,5646765,27,22,16,93,39,196,14,0.29545,-0.40909,-0.70642,OTHERS
374055,5646315,27,24,16,97,40,196,15,0.29197,-0.41606,-0.71681,PISY
373995,5646255,27,22,16,89,32,196,13,0.26446,-0.47107,-0.69524,ALGL
374655,5646045,27,23,16,89,37,195,15,0.29365,-0.4127,-0.69524,POTR
373305,5647395,27,22,15,98,40,198,15,0.28986,-0.42029,-0.73451,ALGL
374535,5646915,27,21,15,90,37,196,14,0.29134,-0.41732,-0.71429,POTR
373545,5645865,27,21,15,90,36,196,14,0.28571,-0.42857,-0.71429,ALGL
373815,5645835,27,22,15,103,40,196,15,0.27972,-0.44056,-0.74576,ALGL
373785,5645085,26,22,15,106,42,196,16,0.28378,-0.43243,-0.75207,POTR
373545,5644995,26,23,16,112,46,196,17,0.29114,-0.41772,-0.75,POTR
374265,5642145,28,23,17,85,37,198,14,0.30328,-0.39344,-0.66667,OTHERS
374445,5641635,30,25,18,88,38,196,15,0.30159,-0.39683,-0.66038,ALGL
373185,5645115,27,21,15,97,40,197,17,0.29197,-0.41606,-0.73214,ALGL
373185,5645325,27,22,17,84,39,198,21,0.31707,-0.36585,-0.66337,OTHERS
373275,5645355,26,22,15,86,36,196,14,0.29508,-0.40984,-0.70297,BEPE
373455,5645805,27,22,15,91,37,196,15,0.28906,-0.42188,-0.71698,POTR
373605,5645865,27,21,15,82,32,196,13,0.2807,-0.4386,-0.69072,BEPE
373515,5645415,26,21,15,81,35,195,14,0.30172,-0.39655,-0.6875,ALGL
373785,5645415,26,22,15,97,45,195,17,0.3169,-0.3662,-0.73214,OTHERS
374085,5641965,29,22,17,82,39,196,17,0.32231,-0.35537,-0.65657,BEPE
363915,5653845,24,20,15,56,31,198,15,0.35632,-0.28736,-0.57746,PISY
367365,5656515,24,19,14,60,28,197,13,0.31818,-0.36364,-0.62162,PISY
368805,5656815,35,30,25,48,28,199,18,0.36842,-0.26316,-0.31507,PISY
368115,5656335,25,20,16,46,30,200,15,0.39474,-0.21053,-0.48387,PISY
369285,5657415,26,20,16,46,25,198,13,0.35211,-0.29577,-0.48387,PISY
369105,5657385,27,20,15,48,23,198,11,0.32394,-0.35211,-0.52381,BEPE
365865,5655435,24,19,15,55,29,201,14,0.34524,-0.30952,-0.57143,BEPE
366075,5655555,25,19,13,52,25,197,11,0.32468,-0.35065,-0.6,PISY
365505,5655675,26,20,15,54,27,198,12,0.33333,-0.33333,-0.56522,PISY
363555,5652555,24,19,13,60,29,197,12,0.32584,-0.34831,-0.64384,PISY
364725,5651955,24,19,13,90,35,197,14,0.28,-0.44,-0.74757,BEPE
363825,5653755,24,19,16,48,28,198,15,0.36842,-0.26316,-0.5,PISY
364155,5651385,26,19,14,50,23,197,11,0.31507,-0.36986,-0.5625,PISY
364395,5650485,25,19,15,49,26,198,12,0.34667,-0.30667,-0.53125,PISY
364215,5652015,25,21,17,66,35,200,15,0.34653,-0.30693,-0.59036,BEPE
364455,5651385,24,18,14,57,25,197,12,0.30488,-0.39024,-0.60563,BEPE
364785,5650125,25,19,14,48,23,198,10,0.32394,-0.35211,-0.54839,PISY
365235,5650005,25,19,14,61,29,199,13,0.32222,-0.35556,-0.62667,PISY
365325,5652465,24,19,14,79,35,198,13,0.30702,-0.38596,-0.69892,OTHERS
364035,5653935,24,20,16,48,27,198,14,0.36,-0.28,-0.5,BEPE
